BATHYMETRY 2
NUM_LAYES
        10
  LAYER_NO     UPPER_ELEVATION     LOWER_ELEVATION          UPPER_AREA          LOWER_AREA        UPPER_LENGTH        LOWER_LENGTH
         1             -2.5000             -3.0000         13782934.77          3742387.20             8000.00             8000.00
         2             -2.0000             -2.5000         30654357.49         13782934.77             8000.00             8000.00
         3             -1.5000             -2.0000         56834474.66         30654357.49             8000.00             8000.00
         4             -1.0000             -1.5000         72138184.94         56834474.66             8000.00             8000.00
         5             -0.5000             -1.0000         74913252.32         72138184.94             8000.00             8000.00
         6              0.0000             -0.5000         74913252.32         74913252.32             8000.00             8000.00
         7              0.5000              0.0000         74913252.32         74913252.32             8000.00             8000.00
         8              1.0000              0.5000         74913252.32         74913252.32             8000.00             8000.00
         9              1.5000              1.0000         74913252.32         74913252.32             8000.00             8000.00
        10              2.0000              1.5000         74913252.32         74913252.32             8000.00             8000.00
