BATHYMETRY 22
NUM_LAYES
        10
  LAYER_NO     UPPER_ELEVATION     LOWER_ELEVATION          UPPER_AREA          LOWER_AREA        UPPER_LENGTH        LOWER_LENGTH
         1             -2.5000             -3.0000          2455537.33           284498.47             8000.00             8000.00
         2             -2.0000             -2.5000          6252197.70          2455537.33             8000.00             8000.00
         3             -1.5000             -2.0000          9681120.27          6252197.70             8000.00             8000.00
         4             -1.0000             -1.5000         12496599.78          9681120.27             8000.00             8000.00
         5             -0.5000             -1.0000         12828980.81         12496599.78             8000.00             8000.00
         6              0.0000             -0.5000         12828980.81         12828980.81             8000.00             8000.00
         7              0.5000              0.0000         12828980.81         12828980.81             8000.00             8000.00
         8              1.0000              0.5000         12828980.81         12828980.81             8000.00             8000.00
         9              1.5000              1.0000         12828980.81         12828980.81             8000.00             8000.00
        10              2.0000              1.5000         12828980.81         12828980.81             8000.00             8000.00
