BATHYMETRY 8
NUM_LAYES
        10
  LAYER_NO     UPPER_ELEVATION     LOWER_ELEVATION          UPPER_AREA          LOWER_AREA        UPPER_LENGTH        LOWER_LENGTH
         1             -2.5000             -3.0000         25441312.84         12166791.41             8000.00             8000.00
         2             -2.0000             -2.5000         50225613.33         25441312.84             8000.00             8000.00
         3             -1.5000             -2.0000         72288788.23         50225613.33             8000.00             8000.00
         4             -1.0000             -1.5000         72288788.23         72288788.23             8000.00             8000.00
         5             -0.5000             -1.0000         72288788.23         72288788.23             8000.00             8000.00
         6              0.0000             -0.5000         72288788.23         72288788.23             8000.00             8000.00
         7              0.5000              0.0000         72288788.23         72288788.23             8000.00             8000.00
         8              1.0000              0.5000         72288788.23         72288788.23             8000.00             8000.00
         9              1.5000              1.0000         72288788.23         72288788.23             8000.00             8000.00
        10              2.0000              1.5000         72288788.23         72288788.23             8000.00             8000.00
