BATHYMETRY 24
NUM_LAYES
        10
  LAYER_NO     UPPER_ELEVATION     LOWER_ELEVATION          UPPER_AREA          LOWER_AREA        UPPER_LENGTH        LOWER_LENGTH
         1             -2.5000             -3.0000          2499214.67           249474.42             8000.00             8000.00
         2             -2.0000             -2.5000          6969416.24          2499214.67             8000.00             8000.00
         3             -1.5000             -2.0000          8539137.40          6969416.24             8000.00             8000.00
         4             -1.0000             -1.5000          8539137.40          8539137.40             8000.00             8000.00
         5             -0.5000             -1.0000          8539137.40          8539137.40             8000.00             8000.00
         6              0.0000             -0.5000          8539137.40          8539137.40             8000.00             8000.00
         7              0.5000              0.0000          8539137.40          8539137.40             8000.00             8000.00
         8              1.0000              0.5000          8539137.40          8539137.40             8000.00             8000.00
         9              1.5000              1.0000          8539137.40          8539137.40             8000.00             8000.00
        10              2.0000              1.5000          8539137.40          8539137.40             8000.00             8000.00
