BATHYMETRY 23
NUM_LAYES
        13
  LAYER_NO     UPPER_ELEVATION     LOWER_ELEVATION          UPPER_AREA          LOWER_AREA        UPPER_LENGTH        LOWER_LENGTH
         1             -4.0000             -4.5000         52881657.00         10456427.00             8000.00             8000.00
         2             -3.5000             -4.0000        112815927.70         52881657.00             8000.00             8000.00
         3             -3.0000             -3.5000        204826512.19        112815927.70             8000.00             8000.00
         4             -2.5000             -3.0000        221111522.95        204826512.19             8000.00             8000.00
         5             -2.0000             -2.5000        232330123.30        221111522.95             8000.00             8000.00
         6             -1.5000             -2.0000        238563480.53        232330123.30             8000.00             8000.00
         7             -1.0000             -1.5000        239382386.28        238563480.53             8000.00             8000.00
         8             -0.5000             -1.0000        239382386.28        239382386.28             8000.00             8000.00
         9              0.0000             -0.5000        239382386.28        239382386.28             8000.00             8000.00
        10              0.5000              0.0000        239382386.28        239382386.28             8000.00             8000.00
        11              1.0000              0.5000        239382386.28        239382386.28             8000.00             8000.00
        12              1.5000              1.0000        239382386.28        239382386.28             8000.00             8000.00
        13              2.0000              1.5000        239382386.28        239382386.28             8000.00             8000.00
