BATHYMETRY 15
NUM_LAYES
        12
  LAYER_NO     UPPER_ELEVATION     LOWER_ELEVATION          UPPER_AREA          LOWER_AREA        UPPER_LENGTH        LOWER_LENGTH
         1             -3.5000             -4.0000         72768736.30         42944661.00             8000.00             8000.00
         2             -3.0000             -3.5000         92794250.20         72768736.30             8000.00             8000.00
         3             -2.5000             -3.0000        126377203.22         92794250.20             8000.00             8000.00
         4             -2.0000             -2.5000        146429453.41        126377203.22             8000.00             8000.00
         5             -1.5000             -2.0000        150818127.70        146429453.41             8000.00             8000.00
         6             -1.0000             -1.5000        150818127.70        150818127.70             8000.00             8000.00
         7             -0.5000             -1.0000        150818127.70        150818127.70             8000.00             8000.00
         8              0.0000             -0.5000        150818127.70        150818127.70             8000.00             8000.00
         9              0.5000              0.0000        150818127.70        150818127.70             8000.00             8000.00
        10              1.0000              0.5000        150818127.70        150818127.70             8000.00             8000.00
        11              1.5000              1.0000        150818127.70        150818127.70             8000.00             8000.00
        12              2.0000              1.5000        150818127.70        150818127.70             8000.00             8000.00
