BATHYMETRY 25
NUM_LAYES
        12
  LAYER_NO     UPPER_ELEVATION     LOWER_ELEVATION          UPPER_AREA          LOWER_AREA        UPPER_LENGTH        LOWER_LENGTH
         1             -3.5000             -4.0000         18972583.20          2892862.20             8000.00             8000.00
         2             -3.0000             -3.5000         47228022.50         18972583.20             8000.00             8000.00
         3             -2.5000             -3.0000         67140181.53         47228022.50             8000.00             8000.00
         4             -2.0000             -2.5000         76805359.76         67140181.53             8000.00             8000.00
         5             -1.5000             -2.0000         81535066.97         76805359.76             8000.00             8000.00
         6             -1.0000             -1.5000         83684639.92         81535066.97             8000.00             8000.00
         7             -0.5000             -1.0000         83684639.92         83684639.92             8000.00             8000.00
         8              0.0000             -0.5000         83684639.92         83684639.92             8000.00             8000.00
         9              0.5000              0.0000         83684639.92         83684639.92             8000.00             8000.00
        10              1.0000              0.5000         83684639.92         83684639.92             8000.00             8000.00
        11              1.5000              1.0000         83684639.92         83684639.92             8000.00             8000.00
        12              2.0000              1.5000         83684639.92         83684639.92             8000.00             8000.00
