BATHYMETRY 21
NUM_LAYES
        14
  LAYER_NO     UPPER_ELEVATION     LOWER_ELEVATION          UPPER_AREA          LOWER_AREA        UPPER_LENGTH        LOWER_LENGTH
         1             -4.5000             -5.0000         46375821.82          9276923.00             8000.00             8000.00
         2             -4.0000             -4.5000         61966384.81         46375821.82             8000.00             8000.00
         3             -3.5000             -4.0000         86657836.23         61966384.81             8000.00             8000.00
         4             -3.0000             -3.5000         97595252.57         86657836.23             8000.00             8000.00
         5             -2.5000             -3.0000        106487681.13         97595252.57             8000.00             8000.00
         6             -2.0000             -2.5000        116659499.43        106487681.13             8000.00             8000.00
         7             -1.5000             -2.0000        116659499.43        116659499.43             8000.00             8000.00
         8             -1.0000             -1.5000        116659499.43        116659499.43             8000.00             8000.00
         9             -0.5000             -1.0000        116659499.43        116659499.43             8000.00             8000.00
        10              0.0000             -0.5000        116659499.43        116659499.43             8000.00             8000.00
        11              0.5000              0.0000        116659499.43        116659499.43             8000.00             8000.00
        12              1.0000              0.5000        116659499.43        116659499.43             8000.00             8000.00
        13              1.5000              1.0000        116659499.43        116659499.43             8000.00             8000.00
        14              2.0000              1.5000        116659499.43        116659499.43             8000.00             8000.00
