BATHYMETRY 14
NUM_LAYES
        12
  LAYER_NO     UPPER_ELEVATION     LOWER_ELEVATION          UPPER_AREA          LOWER_AREA        UPPER_LENGTH        LOWER_LENGTH
         1             -3.5000             -4.0000         21293945.34          9233508.06             8000.00             8000.00
         2             -3.0000             -3.5000         40289114.93         21293945.34             8000.00             8000.00
         3             -2.5000             -3.0000         49717310.52         40289114.93             8000.00             8000.00
         4             -2.0000             -2.5000         52659019.58         49717310.52             8000.00             8000.00
         5             -1.5000             -2.0000         52924896.05         52659019.58             8000.00             8000.00
         6             -1.0000             -1.5000         52924896.05         52924896.05             8000.00             8000.00
         7             -0.5000             -1.0000         52924896.05         52924896.05             8000.00             8000.00
         8              0.0000             -0.5000         52924896.05         52924896.05             8000.00             8000.00
         9              0.5000              0.0000         52924896.05         52924896.05             8000.00             8000.00
        10              1.0000              0.5000         52924896.05         52924896.05             8000.00             8000.00
        11              1.5000              1.0000         52924896.05         52924896.05             8000.00             8000.00
        12              2.0000              1.5000         52924896.05         52924896.05             8000.00             8000.00
