BATHYMETRY 18
NUM_LAYES
        13
  LAYER_NO     UPPER_ELEVATION     LOWER_ELEVATION          UPPER_AREA          LOWER_AREA        UPPER_LENGTH        LOWER_LENGTH
         1             -4.0000             -4.5000         91533541.09         55363095.10             8000.00             8000.00
         2             -3.5000             -4.0000        114814604.34         91533541.09             8000.00             8000.00
         3             -3.0000             -3.5000        145583390.27        114814604.34             8000.00             8000.00
         4             -2.5000             -3.0000        176232564.06        145583390.27             8000.00             8000.00
         5             -2.0000             -2.5000        218221401.50        176232564.06             8000.00             8000.00
         6             -1.5000             -2.0000        241058360.90        218221401.50             8000.00             8000.00
         7             -1.0000             -1.5000        243689184.64        241058360.90             8000.00             8000.00
         8             -0.5000             -1.0000        243689184.64        243689184.64             8000.00             8000.00
         9              0.0000             -0.5000        243689184.64        243689184.64             8000.00             8000.00
        10              0.5000              0.0000        243689184.64        243689184.64             8000.00             8000.00
        11              1.0000              0.5000        243689184.64        243689184.64             8000.00             8000.00
        12              1.5000              1.0000        243689184.64        243689184.64             8000.00             8000.00
        13              2.0000              1.5000        243689184.64        243689184.64             8000.00             8000.00
