# ************************* PRESCRIBED SEDIMENT FLUXES *************************
#         SEGMENT NO        STATE VAR NO       FORCING TS NO   FORCING TS VAR NO
                   3                   3                  17                   3
                   3                   4                  17                   4
                   3                   5                  17                   4
                   3                   6                  17                   4
                   3                   7                  17                   4
                   3                   8                  17                   4
                   3                   9                  17                   4
                   3                  10                  17                   4
                   3                  11                  17                   4
                   3                  12                  17                   4
                   3                  13                  17                   4
                   3                  14                  17                   4
                   3                  15                  17                   4
                   3                  16                  17                   4
                   3                  17                  17                   4
                   3                  18                  17                   4
                   3                  19                  17                   4
                   3                  20                  17                   4
                   3                  21                  17                   4
                   3                  22                  17                   4
                   3                  23                  17                   4
                   3                  24                  17                   4
                   3                  25                  17                   4
                   3                  26                  17                   4
                   3                  27                  17                   4
                   3                  28                  17                   4
                   3                  29                  17                   4
                   3                  30                  17                   4
                   3                  31                  17                   4
                   3                  32                  17                   4
                   3                  33                  15                   4
                   3                  34                  15                   4
                   3                  35                  15                   4
                   3                  36                  15                   4                   
                   4                   1                  15                   4
                   4                   2                  15                   4
                   4                   3                  15                   4
                   4                   4                  15                   4
                   4                   5                  15                   4
                   4                   6                  15                   4
                   4                   7                  15                   4
                   4                   8                  15                   4
                   4                   9                  15                   4
                   4                  10                  15                   4
                   4                  11                  15                   4
                   4                  12                  15                   4
                   4                  13                  15                   4
                   4                  14                  15                   4
                   4                  15                  15                   4
                   4                  16                  15                   4
                   4                  17                  15                   4
                   4                  18                  15                   4
                   4                  19                  15                   4
                   4                  20                  15                   4
                   4                  21                  15                   4
                   4                  22                  15                   4
                   4                  23                  15                   4
                   4                  24                  15                   4
                   4                  25                  15                   4
                   4                  26                  15                   4
                   4                  27                  15                   4
                   4                  28                  15                   4
                   4                  29                  15                   4
                   4                  30                  15                   4
                   4                  31                  15                   4
                   4                  32                  15                   4
                   4                  33                  15                   4
                   4                  34                  15                   4
                   4                  35                  15                   4
                   4                  36                  15                   4                   
                   5                   1                  15                   4
                   5                   2                  15                   4
                   5                   3                  15                   4
                   5                   4                  15                   4
                   5                   5                  15                   4
                   5                   6                  15                   4
                   5                   7                  15                   4
                   5                   8                  15                   4
                   5                   9                  15                   4
                   5                  10                  15                   4
                   5                  11                  15                   4
                   5                  12                  15                   4
                   5                  13                  15                   4
                   5                  14                  15                   4
                   5                  15                  15                   4
                   5                  16                  15                   4
                   5                  17                  15                   4
                   5                  18                  15                   4
                   5                  19                  15                   4
                   5                  20                  15                   4
                   5                  21                  15                   4
                   5                  22                  15                   4
                   5                  23                  15                   4
                   5                  24                  15                   4
                   5                  25                  15                   4
                   5                  26                  15                   4
                   5                  27                  15                   4
                   5                  28                  15                   4
                   5                  29                  15                   4
                   5                  30                  15                   4
                   5                  31                  15                   4
                   5                  32                  15                   4
                   5                  33                  15                   4
                   5                  34                  15                   4
                   5                  35                  15                   4
                   5                  36                  15                   4                   
                   6                   1                  15                   4
                   6                   2                  15                   4
                   6                   3                  15                   4
                   6                   4                  15                   4
                   6                   5                  15                   4
                   6                   6                  15                   4
                   6                   7                  15                   4
                   6                   8                  15                   4
                   6                   9                  15                   4
                   6                  10                  15                   4
                   6                  11                  15                   4
                   6                  12                  15                   4
                   6                  13                  15                   4
                   6                  14                  15                   4
                   6                  15                  15                   4
                   6                  16                  15                   4
                   6                  17                  15                   4
                   6                  18                  15                   4
                   6                  19                  15                   4
                   6                  20                  15                   4
                   6                  21                  15                   4
                   6                  22                  15                   4
                   6                  23                  15                   4
                   6                  24                  15                   4
                   6                  25                  15                   4
                   6                  26                  15                   4
                   6                  27                  15                   4
                   6                  28                  15                   4
                   6                  29                  15                   4
                   6                  30                  15                   4
                   6                  31                  15                   4
                   6                  32                  15                   4
                   6                  33                  15                   4
                   6                  34                  15                   4
                   6                  35                  15                   4
                   6                  36                  15                   4
                   7                   1                  15                   1
                   7                   2                  15                   2
                   7                   3                  15                   3
                   7                   4                  15                   4
                   7                   5                  15                   4
                   7                   6                  15                   4
                   7                   7                  15                   4
                   7                   8                  15                   4
                   7                   9                  15                   4
                   7                  10                  15                   4
                   7                  11                  15                   4
                   7                  12                  15                   4
                   7                  13                  15                   4
                   7                  14                  15                   4
                   7                  15                  15                   4
                   7                  16                  15                   4
                   7                  17                  15                   4
                   7                  18                  15                   4
                   7                  19                  15                   4
                   7                  20                  15                   4
                   7                  21                  15                   4
                   7                  22                  15                   4
                   7                  23                  15                   4
                   7                  24                  15                   4
                   7                  25                  15                   4
                   7                  26                  15                   4
                   7                  27                  15                   4
                   7                  28                  15                   4
                   7                  29                  15                   4
                   7                  30                  15                   4
                   7                  31                  15                   4
                   7                  32                  15                   4
                   7                  33                  15                   4
                   7                  34                  15                   4
                   7                  35                  15                   4
                   7                  36                  15                   4                   
                   8                   1                  15                   4
                   8                   2                  15                   4
                   8                   3                  15                   4
                   8                   4                  15                   4
                   8                   5                  15                   4
                   8                   6                  15                   4
                   8                   7                  15                   4
                   8                   8                  15                   4
                   8                   9                  15                   4
                   8                  10                  15                   4
                   8                  11                  15                   4
                   8                  12                  15                   4
                   8                  13                  15                   4
                   8                  14                  15                   4
                   8                  15                  15                   4
                   8                  16                  15                   4
                   8                  17                  15                   4
                   8                  18                  15                   4
                   8                  19                  15                   4
                   8                  20                  15                   4
                   8                  21                  15                   4
                   8                  22                  15                   4
                   8                  23                  15                   4
                   8                  24                  15                   4
                   8                  25                  15                   4
                   8                  26                  15                   4
                   8                  27                  15                   4
                   8                  28                  15                   4
                   8                  29                  15                   4
                   8                  30                  15                   4
                   8                  31                  15                   4
                   8                  32                  15                   4
                   8                  33                  15                   4
                   8                  34                  15                   4
                   8                  35                  15                   4
                   8                  36                  15                   4                   
                   9                   1                  15                   4
                   9                   2                  15                   4
                   9                   3                  15                   4
                   9                   4                  15                   4
                   9                   5                  15                   4
                   9                   6                  15                   4
                   9                   7                  15                   4
                   9                   8                  15                   4
                   9                   9                  15                   4
                   9                  10                  15                   4
                   9                  11                  15                   4
                   9                  12                  15                   4
                   9                  13                  15                   4
                   9                  14                  15                   4
                   9                  15                  15                   4
                   9                  16                  15                   4
                   9                  17                  15                   4
                   9                  18                  15                   4
                   9                  19                  15                   4
                   9                  20                  15                   4
                   9                  21                  15                   4
                   9                  22                  15                   4
                   9                  23                  15                   4
                   9                  24                  15                   4
                   9                  25                  15                   4
                   9                  26                  15                   4
                   9                  27                  15                   4
                   9                  28                  15                   4
                   9                  29                  15                   4
                   9                  30                  15                   4
                   9                  31                  15                   4
                   9                  32                  15                   4
                   9                  33                  15                   4
                   9                  34                  15                   4
                   9                  35                  15                   4
                   9                  36                  15                   4                   
                  10                   1                  15                   4
                  10                   2                  15                   4
                  10                   3                  15                   4
                  10                   4                  15                   4
                  10                   5                  15                   4
                  10                   6                  15                   4
                  10                   7                  15                   4
                  10                   8                  15                   4
                  10                   9                  15                   4
                  10                  10                  15                   4
                  10                  11                  15                   4
                  10                  12                  15                   4
                  10                  13                  15                   4
                  10                  14                  15                   4
                  10                  15                  15                   4
                  10                  16                  15                   4
                  10                  17                  15                   4
                  10                  18                  15                   4
                  10                  19                  15                   4
                  10                  20                  15                   4
                  10                  21                  15                   4
                  10                  22                  15                   4
                  10                  23                  15                   4
                  10                  24                  15                   4
                  10                  25                  15                   4
                  10                  26                  15                   4
                  10                  27                  15                   4
                  10                  28                  15                   4
                  10                  29                  15                   4
                  10                  30                  15                   4
                  10                  31                  15                   4
                  10                  32                  15                   4
                  10                  33                  15                   4
                  10                  34                  15                   4
                  10                  35                  15                   4
                  10                  36                  15                   4                  
                  11                   1                  15                   4
                  11                   2                  15                   4
                  11                   3                  15                   4
                  11                   4                  15                   4
                  11                   5                  15                   4
                  11                   6                  15                   4
                  11                   7                  15                   4
                  11                   8                  15                   4
                  11                   9                  15                   4
                  11                  10                  15                   4
                  11                  11                  15                   4
                  11                  12                  15                   4
                  11                  13                  15                   4
                  11                  14                  15                   4
                  11                  15                  15                   4
                  11                  16                  15                   4
                  11                  17                  15                   4
                  11                  18                  15                   4
                  11                  19                  15                   4
                  11                  20                  15                   4
                  11                  21                  15                   4
                  11                  22                  15                   4
                  11                  23                  15                   4
                  11                  24                  15                   4
                  11                  25                  15                   4
                  11                  26                  15                   4
                  11                  27                  15                   4
                  11                  28                  15                   4
                  11                  29                  15                   4
                  11                  30                  15                   4
                  11                  31                  15                   4
                  11                  32                  15                   4
                  11                  33                  15                   4
                  11                  34                  15                   4
                  11                  35                  15                   4
                  11                  36                  15                   4                  
                  12                   1                  15                   4
                  12                   2                  15                   4
                  12                   3                  15                   4
                  12                   4                  15                   4
                  12                   5                  15                   4
                  12                   6                  15                   4
                  12                   7                  15                   4
                  12                   8                  15                   4
                  12                   9                  15                   4
                  12                  10                  15                   4
                  12                  11                  15                   4
                  12                  12                  15                   4
                  12                  13                  15                   4
                  12                  14                  15                   4
                  12                  15                  15                   4
                  12                  16                  15                   4
                  12                  17                  15                   4
                  12                  18                  15                   4
                  12                  19                  15                   4
                  12                  20                  15                   4
                  12                  21                  15                   4
                  12                  22                  15                   4
                  12                  23                  15                   4
                  12                  24                  15                   4
                  12                  25                  15                   4
                  12                  26                  15                   4
                  12                  27                  15                   4
                  12                  28                  15                   4
                  12                  29                  15                   4
                  12                  30                  15                   4
                  12                  31                  15                   4
                  12                  32                  15                   4
                  12                  33                  15                   4
                  12                  34                  15                   4
                  12                  35                  15                   4
                  12                  36                  15                   4                  
                  13                   1                  15                   4
                  13                   2                  15                   4
                  13                   3                  15                   4
                  13                   4                  15                   4
                  13                   5                  15                   4
                  13                   6                  15                   4
                  13                   7                  15                   4
                  13                   8                  15                   4
                  13                   9                  15                   4
                  13                  10                  15                   4
                  13                  11                  15                   4
                  13                  12                  15                   4
                  13                  13                  15                   4
                  13                  14                  15                   4
                  13                  15                  15                   4
                  13                  16                  15                   4
                  13                  17                  15                   4
                  13                  18                  15                   4
                  13                  19                  15                   4
                  13                  20                  15                   4
                  13                  21                  15                   4
                  13                  22                  15                   4
                  13                  23                  15                   4
                  13                  24                  15                   4
                  13                  25                  15                   4
                  13                  26                  15                   4
                  13                  27                  15                   4
                  13                  28                  15                   4
                  13                  29                  15                   4
                  13                  30                  15                   4
                  13                  31                  15                   4
                  13                  32                  15                   4
                  13                  33                  15                   4
                  13                  34                  15                   4
                  13                  35                  15                   4
                  13                  36                  15                   4                  
                  14                   1                  17                   1
                  14                   2                  17                   2
                  14                   3                  17                   3
                  14                   4                  17                   4
                  14                   5                  17                   4
                  14                   6                  17                   4
                  14                   7                  17                   4
                  14                   8                  17                   4
                  14                   9                  17                   4
                  14                  10                  17                   4
                  14                  11                  17                   4
                  14                  12                  17                   4
                  14                  13                  17                   4
                  14                  14                  17                   4
                  14                  15                  17                   4
                  14                  16                  17                   4
                  14                  17                  17                   4
                  14                  18                  17                   4
                  14                  19                  17                   4
                  14                  20                  17                   4
                  14                  21                  17                   4
                  14                  22                  17                   4
                  14                  23                  17                   4
                  14                  24                  17                   4
                  14                  25                  17                   4
                  14                  26                  17                   4
                  14                  27                  17                   4
                  14                  28                  17                   4
                  14                  29                  17                   4
                  14                  30                  17                   4
                  14                  31                  17                   4
                  14                  32                  17                   4
                  14                  33                  15                   4
                  14                  34                  15                   4
                  14                  35                  15                   4
                  14                  36                  15                   4                  
                  15                   1                  17                   1
                  15                   2                  17                   2
                  15                   3                  17                   3
                  15                   4                  17                   4
                  15                   5                  17                   4
                  15                   6                  17                   4
                  15                   7                  17                   4
                  15                   8                  17                   4
                  15                   9                  17                   4
                  15                  10                  17                   4
                  15                  11                  17                   4
                  15                  12                  17                   4
                  15                  13                  17                   4
                  15                  14                  17                   4
                  15                  15                  17                   4
                  15                  16                  17                   4
                  15                  17                  17                   4
                  15                  18                  17                   4
                  15                  19                  17                   4
                  15                  20                  17                   4
                  15                  21                  17                   4
                  15                  22                  17                   4
                  15                  23                  17                   4
                  15                  24                  17                   4
                  15                  25                  17                   4
                  15                  26                  17                   4
                  15                  27                  17                   4
                  15                  28                  17                   4
                  15                  29                  17                   4
                  15                  30                  17                   4
                  15                  31                  17                   4
                  15                  32                  17                   4
                  15                  33                  15                   4
                  15                  34                  15                   4
                  15                  35                  15                   4
                  15                  36                  15                   4                  
                  16                   1                  15                   4
                  16                   2                  15                   4
                  16                   3                  15                   4
                  16                   4                  15                   4
                  16                   5                  15                   4
                  16                   6                  15                   4
                  16                   7                  15                   4
                  16                   8                  15                   4
                  16                   9                  15                   4
                  16                  10                  15                   4
                  16                  11                  15                   4
                  16                  12                  15                   4
                  16                  13                  15                   4
                  16                  14                  15                   4
                  16                  15                  15                   4
                  16                  16                  15                   4
                  16                  17                  15                   4
                  16                  18                  15                   4
                  16                  19                  15                   4
                  16                  20                  15                   4
                  16                  21                  15                   4
                  16                  22                  15                   4
                  16                  23                  15                   4
                  16                  24                  15                   4
                  16                  25                  15                   4
                  16                  26                  15                   4
                  16                  27                  15                   4
                  16                  28                  15                   4
                  16                  29                  15                   4
                  16                  30                  15                   4
                  16                  31                  15                   4
                  16                  32                  15                   4
                  16                  33                  15                   4
                  16                  34                  15                   4
                  16                  35                  15                   4
                  16                  36                  15                   4                  
                  17                   1                  17                   1
                  17                   2                  17                   2
                  17                   3                  17                   3
                  17                   4                  17                   4
                  17                   5                  17                   4
                  17                   6                  17                   4
                  17                   7                  17                   4
                  17                   8                  17                   4
                  17                   9                  17                   4
                  17                  10                  17                   4
                  17                  11                  17                   4
                  17                  12                  17                   4
                  17                  13                  17                   4
                  17                  14                  17                   4
                  17                  15                  17                   4
                  17                  16                  17                   4
                  17                  17                  17                   4
                  17                  18                  17                   4
                  17                  19                  17                   4
                  17                  20                  17                   4
                  17                  21                  17                   4
                  17                  22                  17                   4
                  17                  23                  17                   4
                  17                  24                  17                   4
                  17                  25                  17                   4
                  17                  26                  17                   4
                  17                  27                  17                   4
                  17                  28                  17                   4
                  17                  29                  17                   4
                  17                  30                  17                   4
                  17                  31                  17                   4
                  17                  32                  17                   4
                  17                  33                  15                   4
                  17                  34                  15                   4
                  17                  35                  15                   4
                  17                  36                  15                   4                  
                  18                   1                  17                   1
                  18                   2                  17                   2
                  18                   3                  17                   3
                  18                   4                  17                   4
                  18                   5                  17                   4
                  18                   6                  17                   4
                  18                   7                  17                   4
                  18                   8                  17                   4
                  18                   9                  17                   4
                  18                  10                  17                   4
                  18                  11                  17                   4
                  18                  12                  17                   4
                  18                  13                  17                   4
                  18                  14                  17                   4
                  18                  15                  17                   4
                  18                  16                  17                   4
                  18                  17                  17                   4
                  18                  18                  17                   4
                  18                  19                  17                   4
                  18                  20                  17                   4
                  18                  21                  17                   4
                  18                  22                  17                   4
                  18                  23                  17                   4
                  18                  24                  17                   4
                  18                  25                  17                   4
                  18                  26                  17                   4
                  18                  27                  17                   4
                  18                  28                  17                   4
                  18                  29                  17                   4
                  18                  30                  17                   4
                  18                  31                  17                   4
                  18                  32                  17                   4
                  18                  33                  15                   4
                  18                  34                  15                   4
                  18                  35                  15                   4
                  18                  36                  15                   4                  
                  19                   1                  17                   1
                  19                   2                  17                   2
                  19                   3                  17                   3
                  19                   4                  17                   4
                  19                   5                  17                   4
                  19                   6                  17                   4
                  19                   7                  17                   4
                  19                   8                  17                   4
                  19                   9                  17                   4
                  19                  10                  17                   4
                  19                  11                  17                   4
                  19                  12                  17                   4
                  19                  13                  17                   4
                  19                  14                  17                   4
                  19                  15                  17                   4
                  19                  16                  17                   4
                  19                  17                  17                   4
                  19                  18                  17                   4
                  19                  19                  17                   4
                  19                  20                  17                   4
                  19                  21                  17                   4
                  19                  22                  17                   4
                  19                  23                  17                   4
                  19                  24                  17                   4
                  19                  25                  17                   4
                  19                  26                  17                   4
                  19                  27                  17                   4
                  19                  28                  17                   4
                  19                  29                  17                   4
                  19                  30                  17                   4
                  19                  31                  17                   4
                  19                  32                  17                   4
                  19                  33                  15                   4
                  19                  34                  15                   4
                  19                  35                  15                   4
                  19                  36                  15                   4                  
                  20                   1                  15                   4
                  20                   2                  15                   4
                  20                   3                  15                   4
                  20                   4                  15                   4
                  20                   5                  15                   4
                  20                   6                  15                   4
                  20                   7                  15                   4
                  20                   8                  15                   4
                  20                   9                  15                   4
                  20                  10                  15                   4
                  20                  11                  15                   4
                  20                  12                  15                   4
                  20                  13                  15                   4
                  20                  14                  15                   4
                  20                  15                  15                   4
                  20                  16                  15                   4
                  20                  17                  15                   4
                  20                  18                  15                   4
                  20                  19                  15                   4
                  20                  20                  15                   4
                  20                  21                  15                   4
                  20                  22                  15                   4
                  20                  23                  15                   4
                  20                  24                  15                   4
                  20                  25                  15                   4
                  20                  26                  15                   4
                  20                  27                  15                   4
                  20                  28                  15                   4
                  20                  29                  15                   4
                  20                  30                  15                   4
                  20                  31                  15                   4
                  20                  32                  15                   4
                  20                  33                  15                   4
                  20                  34                  15                   4
                  20                  35                  15                   4
                  20                  36                  15                   4                  
                  21                   1                  17                   1
                  21                   2                  17                   2
                  21                   3                  17                   3
                  21                   4                  17                   4
                  21                   5                  17                   4
                  21                   6                  17                   4
                  21                   7                  17                   4
                  21                   8                  17                   4
                  21                   9                  17                   4
                  21                  10                  17                   4
                  21                  11                  17                   4
                  21                  12                  17                   4
                  21                  13                  17                   4
                  21                  14                  17                   4
                  21                  15                  17                   4
                  21                  16                  17                   4
                  21                  17                  17                   4
                  21                  18                  17                   4
                  21                  19                  17                   4
                  21                  20                  17                   4
                  21                  21                  17                   4
                  21                  22                  17                   4
                  21                  23                  17                   4
                  21                  24                  17                   4
                  21                  25                  17                   4
                  21                  26                  17                   4
                  21                  27                  17                   4
                  21                  28                  17                   4
                  21                  29                  17                   4
                  21                  30                  17                   4
                  21                  31                  17                   4
                  21                  32                  17                   4
                  21                  33                  15                   4
                  21                  34                  15                   4
                  21                  35                  15                   4
                  21                  36                  15                   4
                  22                   1                  15                   4
                  22                   2                  15                   4
                  22                   3                  15                   4
                  22                   4                  15                   4
                  22                   5                  15                   4
                  22                   6                  15                   4
                  22                   7                  15                   4
                  22                   8                  15                   4
                  22                   9                  15                   4
                  22                  10                  15                   4
                  22                  11                  15                   4
                  22                  12                  15                   4
                  22                  13                  15                   4
                  22                  14                  15                   4
                  22                  15                  15                   4
                  22                  16                  15                   4
                  22                  17                  15                   4
                  22                  18                  15                   4
                  22                  19                  15                   4
                  22                  20                  15                   4
                  22                  21                  15                   4
                  22                  22                  15                   4
                  22                  23                  15                   4
                  22                  24                  15                   4
                  22                  25                  15                   4
                  22                  26                  15                   4
                  22                  27                  15                   4
                  22                  28                  15                   4
                  22                  29                  15                   4
                  22                  30                  15                   4
                  22                  31                  15                   4
                  22                  32                  15                   4
                  22                  33                  15                   4
                  22                  34                  15                   4
                  22                  35                  15                   4
                  22                  36                  15                   4                  
                  23                   1                  17                   1
                  23                   2                  17                   2
                  23                   3                  17                   3
                  23                   4                  17                   4
                  23                   5                  17                   4
                  23                   6                  17                   4
                  23                   7                  17                   4
                  23                   8                  17                   4
                  23                   9                  17                   4
                  23                  10                  17                   4
                  23                  11                  17                   4
                  23                  12                  17                   4
                  23                  13                  17                   4
                  23                  14                  17                   4
                  23                  15                  17                   4
                  23                  16                  17                   4
                  23                  17                  17                   4
                  23                  18                  17                   4
                  23                  19                  17                   4
                  23                  20                  17                   4
                  23                  21                  17                   4
                  23                  22                  17                   4
                  23                  23                  17                   4
                  23                  24                  17                   4
                  23                  25                  17                   4
                  23                  26                  17                   4
                  23                  27                  17                   4
                  23                  28                  17                   4
                  23                  29                  17                   4
                  23                  30                  17                   4
                  23                  31                  17                   4
                  23                  32                  17                   4
                  23                  33                  15                   4
                  23                  34                  15                   4
                  23                  35                  15                   4
                  23                  36                  15                   4                  
                  24                   1                  15                   4
                  24                   2                  15                   4
                  24                   3                  15                   4
                  24                   4                  15                   4
                  24                   5                  15                   4
                  24                   6                  15                   4
                  24                   7                  15                   4
                  24                   8                  15                   4
                  24                   9                  15                   4
                  24                  10                  15                   4
                  24                  11                  15                   4
                  24                  12                  15                   4
                  24                  13                  15                   4
                  24                  14                  15                   4
                  24                  15                  15                   4
                  24                  16                  15                   4
                  24                  17                  15                   4
                  24                  18                  15                   4
                  24                  19                  15                   4
                  24                  20                  15                   4
                  24                  21                  15                   4
                  24                  22                  15                   4
                  24                  23                  15                   4
                  24                  24                  15                   4
                  24                  25                  15                   4
                  24                  26                  15                   4
                  24                  27                  15                   4
                  24                  28                  15                   4
                  24                  29                  15                   4
                  24                  30                  15                   4
                  24                  31                  15                   4
                  24                  32                  15                   4
                  24                  33                  15                   4
                  24                  34                  15                   4
                  24                  35                  15                   4
                  24                  36                  15                   4                  
                  25                   1                  17                   1
                  25                   2                  17                   2
                  25                   3                  17                   3
                  25                   4                  17                   4
                  25                   5                  17                   4
                  25                   6                  17                   4
                  25                   7                  17                   4
                  25                   8                  17                   4
                  25                   9                  17                   4
                  25                  10                  17                   4
                  25                  11                  17                   4
                  25                  12                  17                   4
                  25                  13                  17                   4
                  25                  14                  17                   4
                  25                  15                  17                   4
                  25                  16                  17                   4
                  25                  17                  17                   4
                  25                  18                  17                   4
                  25                  19                  17                   4
                  25                  20                  17                   4
                  25                  21                  17                   4
                  25                  22                  17                   4
                  25                  23                  17                   4
                  25                  24                  17                   4
                  25                  25                  17                   4
                  25                  26                  17                   4
                  25                  27                  17                   4
                  25                  28                  17                   4
                  25                  29                  17                   4
                  25                  30                  17                   4
                  25                  31                  17                   4
                  25                  32                  17                   4
                  25                  33                  15                   4                  
                  25                  34                  15                   4
                  25                  35                  15                   4
                  25                  36                  15                   4
                                                                                
